DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
2028032-DCA,Business,2021-01-31,Active,2015-09-03,Debt Collection Agency,"CROWN ASSET MANAGEMENT, LLC",,3100,BRECKINRIDGE BLVD,,DULUTH,GA,30096,7708176700,Outside NYC,,,,,,,,,,,
2058204-DCA,Business,2021-01-31,Active,2017-09-14,Debt Collection Agency,"ADVANCED CALL CENTER TECHNOLOGIES, LLC",,2252,N MAIN ST,,LOGAN,UT,84341,435-787-8435,Outside NYC,,,,,,,,,,,
2026251-DCA,Business,2015-08-09,Inactive,2015-07-28,Amusement Device Temporary,"RIVERA, ROBERT",C & N AMUSEMENTS,209,LAKESIDE RD,,NEWBURGH,NY,12550,6462387087,Outside NYC,,,,,,,,"Device Name(s):  LOOPER PLANE, RED BARON, COMBO, SPINNING APPLES, MUSICAL CHAIRS, SLIDE",,,
2056475-DCA,Business,2021-01-31,Active,2017-08-01,Debt Collection Agency,"SCRATCH SERVICING OPERATIONS, LLC",,375,ALABAMA ST,,SAN FRANCISCO,CA,94110,415-484-8246,Outside NYC,,,,,,,,,,,
2040528-DCA,Business,2019-01-31,Inactive,2016-07-15,Debt Collection Agency,"Global Receivables Solutions, Inc","Global Receivables Solutions, Inc",2829,WESTOWN PKWY,,WEST DES MOINES,IA,50266,5153314966,Outside NYC,,,,,,,,,,,
2063428-DCA,Business,2021-01-31,Active,2017-12-15,Debt Collection Agency,"LAELIA, LLC",,2003,WESTERN AVE,,SEATTLE,WA,98121,206-267-9992,Outside NYC,,,,,,,,,,,
1473180-DCA,Business,2021-01-31,Active,2013-09-12,Debt Collection Agency,ALLIED INTERSTATE LLC,,A-154A,SECTOR 63,,NOIDA UP,INDIA ID,20130,6787400498,Outside NYC,,,,,,,,,,,
2080327-DCA,Business,2021-01-31,Active,2018-11-30,Debt Collection Agency,Irving Kaplan & Associates,,130,W WESTFIELD AVE,,ROSELLE PARK,NJ,07204,9086884004,Outside NYC,,,,,,,,,,,
2082973-DCA,Business,2021-01-31,Active,2019-03-08,Debt Collection Agency,Stephanie Marie Phillips,,5680,MAIN ST,,WILLIAMSVILLE,NY,14221,8009690059,Outside NYC,,,,,,,,,,,
2054880-DCA,Business,2021-01-31,Active,2017-06-23,Debt Collection Agency,"LIPPMAN RECUPERO, LLC",,1325,N WILMOT RD,,TUCSON,AZ,85712,520-762-4036,Outside NYC,,,,,,,,,,,
2060813-DCA,Business,2021-01-31,Inactive,2017-11-15,Debt Collection Agency,"MEDICAL DATA SYSTEMS, INC",,2150,15TH AVE,,VERO BEACH,FL,32960,772-794-9332,Outside NYC,,,,,,,,,,,
2046177-DCA,Business,2021-01-31,Active,2016-12-05,Debt Collection Agency,"Shichman, Michael A.",Law Office of Michael A. Shichman,109,HIGH FARMS RD,,GLEN HEAD,NY,11545,5166716388,Outside NYC,,,,,,,,,,,
2015713-DCA,Business,2021-01-31,Active,2014-11-20,Debt Collection Agency,"Credit Solutions, LLC","Credit Solutions of Kentucky,  LLC",2277,THUNDERSTICK DR,,LEXINGTON,KY,40505,,Outside NYC,,,,,,,,,,,
2080911-DCA,Business,2021-01-31,Active,2018-12-26,Debt Collection Agency,"DIVERSIFIED CONSULTANTS, INC.",,7575,SW MOHAWK ST,BLDG M,TUALATIN,OR,97062,904-247-5500,Outside NYC,,,,,,,,,,,
2016918-DCA,Business,2019-01-31,Inactive,2014-12-30,Debt Collection Agency,CENTRAL CREDIT SERVICES LLC,,500,N FRANKLIN TPKE,,RAMSEY,NJ,07446,,Outside NYC,,,,,,,,,,,
2044104-DCA,Business,2021-01-31,Active,2016-09-26,Debt Collection Agency,"AUDIT & ADJUSTMENT COMPANY, INC.",,20700,44TH AVE W,,LYNNWOOD,WA,98036,4257769797,Outside NYC,,,,,,,,,,,
2044573-DCA,Business,2021-01-31,Active,2016-10-11,Debt Collection Agency,Steel River Systems LLC,,405,W ROCK FALLS RD,,ROCK FALLS,IL,61071,,Outside NYC,,,,,,,,,,,
